data_cad,cpf_beneficiario,datahora_inicio,datahora_fim,atestado_em,dias_ausentes,hora_inicial,hora_final,origem_atestado,outros_tipos_origem,crm_medico,uf_crm,situacao_crm,especialidade_medico,data_atualizacao_crm,nome_local,cidade_local,uf_local,descricao_cid,motivacao,tipo_motivacao,declaracao_de_comparecimento,data_entrega,setor,departamento,centro_de_custo
2020-02-06 21:48:02,361.087.529-12,2023-05-22 20:13:37,2023-01-25 20:06:39,Horas,4,21:27:36,02:50:16,Convenio Saude,,12579,MT,C,Oftalmologia,2023-02-28,Lima e Filhos,Teixeira de Minas,PE,C03,Consultas,Oftalmologia,Nao,2023-08-22,LABORATORIO,Medico,Externo
2021-03-23 16:03:18,271.904.683-31,2023-10-20 15:01:16,2023-03-29 19:16:17,Horas,9,20:54:10,12:10:29,Clinica Particular,,50266,PR,B,Urologia,2023-05-21,Moura,Aragão do Oeste,AM,C03,Consultas,Urologia,Nao,2023-02-08,LABORATORIO,Comercial,Interno
2022-01-18 08:22:16,197.325.064-07,2023-06-23 08:29:20,2023-11-03 13:22:50,Dias,5,07:44:20,10:38:37,Hospital,,97383,PB,B,Pediatria,2023-06-30,Nunes da Paz Ltda.,Moura,TO,C03,Consultas,Pediatria,Sim,2023-10-08,LABORATORIO,Pesquisa,Externo
2020-02-26 03:33:08,740.352.961-80,2023-07-02 21:58:06,2023-04-28 01:13:14,Dias,6,18:07:43,08:11:48,Ambulatorio,,12367,RO,B,Cardiologia,2023-05-14,Viana - ME,Cunha do Amparo,AM,E05,Consultas,Cardiologia,Nao,2023-10-22,LABORATORIO,Comercial,Externo
2020-01-16 00:40:39,506.819.743-20,2023-02-11 10:49:02,2023-10-15 10:39:54,Horas,6,06:00:07,04:32:49,Hospital,,20740,MA,E,Pediatria,2023-08-25,da Mata,Campos do Campo,RJ,B02,Consultas,Pediatria,Nao,2023-02-27,ATENDIMENTO,Comercial,Externo
2023-06-24 01:45:08,156.832.470-71,2023-01-18 05:19:08,2023-03-30 05:41:14,Horas,10,14:45:06,11:14:23,Convenio Saude,,80274,MT,E,Dermatologia,2023-09-13,das Neves Mendes - EI,Azevedo,GO,A01,Consultas,Dermatologia,Sim,2023-09-12,ATENDIMENTO,Pesquisa,Interno
2021-08-27 13:52:29,580.146.392-51,2023-07-27 12:04:01,2023-05-09 09:55:32,Horas,3,05:11:20,23:49:55,Clinica Particular,,32840,PA,A,Pneumologia,2023-05-18,Porto,Araújo,PI,C03,Consultas,Pneumologia,Sim,2023-11-17,LABORATORIO,Comercial,Interno
2021-10-24 14:57:12,213.479.680-40,2023-01-11 07:00:58,2023-05-30 11:08:54,Dias,7,02:20:58,09:02:03,Convenio Saude,,66493,BA,C,Ortopedia,2023-07-17,Freitas,Vieira de Nunes,SC,E05,Consultas,Ortopedia,Sim,2023-05-02,LABORATORIO,Comercial,Interno
2020-08-13 10:31:57,402.815.376-07,2023-01-17 09:50:02,2023-04-09 01:54:25,Horas,2,15:21:17,12:50:20,Laboratorio,,19813,CE,C,Pneumologia,2023-03-11,Cardoso Melo S/A,Novaes,AP,D04,Consultas,Pneumologia,Sim,2023-01-22,COBRANCA,Medico,Interno
2020-02-13 15:12:32,581.432.076-17,2023-04-07 06:01:35,2023-07-25 16:53:14,Horas,2,09:42:31,07:43:51,Laboratorio,,71127,RJ,C,Pneumologia,2023-03-15,Ferreira S/A,Nascimento das Pedras,SE,B02,Consultas,Pneumologia,Nao,2023-08-21,ATENDIMENTO,Medico,Externo
2022-11-01 22:17:50,973.106.482-69,2023-04-07 18:34:39,2023-10-04 21:41:05,Horas,10,17:05:34,15:21:43,Clinica Particular,,28830,CE,B,Cardiologia,2023-10-30,Almeida - EI,Melo,SE,E05,Consultas,Cardiologia,Sim,2023-02-10,LABORATORIO,Medico,Externo
2023-05-10 03:00:55,438.051.697-01,2023-03-05 09:42:23,2023-04-30 02:23:18,Horas,4,08:19:26,07:42:20,Ambulatorio,,46917,AP,E,Neurologia,2023-06-13,Duarte,da Mota Alegre,SE,A01,Consultas,Neurologia,Nao,2023-01-26,ATENDIMENTO,Pesquisa,Externo
2021-02-16 15:55:13,439.718.052-05,2023-11-04 00:38:38,2023-08-24 20:55:03,Horas,1,17:38:33,12:33:00,Laboratorio,,26717,PE,A,Cardiologia,2023-05-21,da Mata Campos S.A.,Cardoso de da Costa,PE,C03,Consultas,Cardiologia,Sim,2023-07-02,COBRANCA,Pesquisa,Externo
2022-08-02 15:37:57,925.710.386-21,2023-08-14 07:56:56,2023-03-14 07:44:09,Dias,10,18:21:32,22:01:06,Ambulatorio,,66641,SE,B,Dermatologia,2023-02-17,Ramos e Filhos,Costela da Praia,ES,A01,Consultas,Dermatologia,Nao,2023-07-12,ATENDIMENTO,Pesquisa,Externo
